sample_id,doi,report_family,plot_family,emission_peak_nm,record_type
LI21_CE100_A000,10.1016/j.jeurceramsoc.2021.03.022,YAG,YAG,557.0,sample
LI21_CE100_A900,10.1016/j.jeurceramsoc.2021.03.022,YAG,YAG,557.0,sample
LI21_CE100_A1000,10.1016/j.jeurceramsoc.2021.03.022,YAG,YAG,557.0,sample
LI21_CE100_A1100,10.1016/j.jeurceramsoc.2021.03.022,YAG,YAG,557.0,sample
LI21_CE100_A1200,10.1016/j.jeurceramsoc.2021.03.022,YAG,YAG,557.0,sample
LI21_CE100_A1300,10.1016/j.jeurceramsoc.2021.03.022,YAG,YAG,557.0,sample
LI21_CE100_A1400,10.1016/j.jeurceramsoc.2021.03.022,YAG,YAG,557.0,sample
MOR16_YAGG,10.2109/jcersj2.15239,YAGG,YAGG,520.0,sample
MOR16_GAGG,10.2109/jcersj2.15239,GAGG,GAGG,550.0,sample
MOR16_LUAGG,10.2109/jcersj2.15239,LuAGG,Other garnets,520.0,sample
HOS19_N4_1600,10.1016/j.ceramint.2019.08.025,GGAG,Other garnets,550.0,sample
SIN17_X0015,10.1016/j.ceramint.2017.04.047,YAG,YAG,526.1,sample
SIN17_X0030,10.1016/j.ceramint.2017.04.047,YAG,YAG,527.2,sample
SIN17_X0050,10.1016/j.ceramint.2017.04.047,YAG,YAG,527.2,sample
SIN17_X0100,10.1016/j.ceramint.2017.04.047,YAG,YAG,528.3,sample
WAE14_YAG_CE001_T05,10.1557/jmr.2014.229,YAG,YAG,530.0,sample
WAE14_YAG_CE005_T05,10.1557/jmr.2014.229,YAG,YAG,530.0,sample
WAE14_YAG_CE010_T05,10.1557/jmr.2014.229,YAG,YAG,530.0,sample
NIS11_T02,10.1016/j.optmat.2010.06.005,Y3Al5O12,Other garnets,530.0,sample
CHE17_GA01,10.1016/j.jeurceramsoc.2017.05.024,GAGG,GAGG,574.0,sample
CHE17_GA03,10.1016/j.jeurceramsoc.2017.05.024,GAGG,GAGG,568.0,sample
CHE17_GA04,10.1016/j.jeurceramsoc.2017.05.024,GAGG,GAGG,564.0,sample
CHE17_GA05,10.1016/j.jeurceramsoc.2017.05.024,GAGG,GAGG,558.0,sample
CHE17_GA07,10.1016/j.jeurceramsoc.2017.05.024,GAGG,GAGG,549.0,sample
HU15_GD00,10.1364/OME.5.002902,YAG,YAG,550.0,sample
HU15_GD10,10.1364/OME.5.002902,"(Y,Gd)AG","(Y,Gd)AG",553.0,sample
HU15_GD30,10.1364/OME.5.002902,"(Y,Gd)AG","(Y,Gd)AG",559.0,sample
HU15_GD40,10.1364/OME.5.002902,"(Y,Gd)AG","(Y,Gd)AG",562.0,sample
HU15_GD50,10.1364/OME.5.002902,"(Y,Gd)AG","(Y,Gd)AG",565.0,sample
HU15_GD60,10.1364/OME.5.002902,"(Y,Gd)AG","(Y,Gd)AG",568.0,sample
HU15_GD70,10.1364/OME.5.002902,"(Y,Gd)AG","(Y,Gd)AG",571.0,sample
HU15_GD80,10.1364/OME.5.002902,"(Y,Gd)AG","(Y,Gd)AG",575.0,sample
UED11_YSGG_AS,10.1143/APEX.4.042602,YSGG,Other garnets,500.0,sample
UED11_YSGG_O2,10.1143/APEX.4.042602,YSGG,Other garnets,500.0,sample
YANG26_LUAGG_GA050,10.1016/j.ceramint.2026.03.410,LuAGG,Other garnets,520.0,sample
YANG26_LUAGG_GA075,10.1016/j.ceramint.2026.03.410,LuAGG,Other garnets,513.0,sample
YANG26_LUAGG_GA100,10.1016/j.ceramint.2026.03.410,LuAGG,Other garnets,511.0,sample
YANG26_LUAGG_GA150,10.1016/j.ceramint.2026.03.410,LuAGG,Other garnets,507.0,sample
YANG26_LUAGG_GA200,10.1016/j.ceramint.2026.03.410,LuAGG,Other garnets,500.0,sample
WANG24_LUAG_CE005,10.1016/j.optmat.2023.114697,LuAG,LuAG,545.0,sample
WANG24_LUAG_CE010,10.1016/j.optmat.2023.114697,LuAG,LuAG,547.0,sample
WANG24_LUAG_CE020,10.1016/j.optmat.2023.114697,LuAG,LuAG,549.0,sample
WANG24_LUAG_CE030,10.1016/j.optmat.2023.114697,LuAG,LuAG,551.0,sample
WANG24_LUAG_CE035,10.1016/j.optmat.2023.114697,LuAG,LuAG,552.0,sample
WANG24_LUAG_CE040,10.1016/j.optmat.2023.114697,LuAG,LuAG,553.0,sample
WANG24_LUAG_CE045,10.1016/j.optmat.2023.114697,LuAG,LuAG,554.0,sample
WANG24_LUAG_CE050,10.1016/j.optmat.2023.114697,LuAG,LuAG,555.0,sample
WANG24_LUAG_CE055,10.1016/j.optmat.2023.114697,LuAG,LuAG,556.0,sample
WANG24_LUAG_CE060,10.1016/j.optmat.2023.114697,LuAG,LuAG,557.0,sample
WANG24_LUAG_CE070,10.1016/j.optmat.2023.114697,LuAG,LuAG,559.0,sample
DU18_YAMSG_X00,10.1039/C8TC03866J,YAMSG,Other garnets,533.0,sample
DU18_YAMSG_X05,10.1039/C8TC03866J,YAMSG,Other garnets,553.0,sample
MA20_SCLU15Y15,10.1039/D0TC04231E,LuYSAG,Other garnets,534.0,sample
MA20_SCLU10Y20,10.1039/D0TC04231E,LuYSAG,Other garnets,539.0,sample
MA20_SCLU05Y25,10.1039/D0TC04231E,LuYSAG,Other garnets,540.0,sample
MA20_SCLU00Y30,10.1039/D0TC04231E,LuYSAG,Other garnets,543.0,sample
LIU19_GDYAG_GD00,10.1016/j.optmat.2018.11.031,"(Y,Gd)AG","(Y,Gd)AG",528.0,sample
LIU19_GDYAG_GD10,10.1016/j.optmat.2018.11.031,"(Y,Gd)AG","(Y,Gd)AG",530.0,sample
LIU19_GDYAG_GD20,10.1016/j.optmat.2018.11.031,"(Y,Gd)AG","(Y,Gd)AG",538.0,sample
LIU19_GDYAG_GD30,10.1016/j.optmat.2018.11.031,"(Y,Gd)AG","(Y,Gd)AG",544.0,sample
LIU19_ACS_GAGG_T08,10.1021/acsami.9b02703,GAGG,GAGG,570.0,sample
LI16_LUAG_CE003,10.1111/jace.14461,LuAG,LuAG,515.0,sample
LI16_YAG_CE003,10.1111/jace.14461,YAG,YAG,530.0,sample
SUN20_GDLUGAG_LU35,10.1111/jace.16776,"(Gd,Lu)AG",Other garnets,580.0,sample
LI24_CSS_CE02,10.1016/j.ceramint.2024.04.274,CSS,Other garnets,507.0,sample
LI24_CSS_CE04,10.1016/j.ceramint.2024.04.274,CSS,Other garnets,508.0,sample
LI24_CSS_CE06,10.1016/j.ceramint.2024.04.274,CSS,Other garnets,509.0,sample
LI24_CSS_CE08,10.1016/j.ceramint.2024.04.274,CSS,Other garnets,510.0,sample
LI24_CSS_CE10,10.1016/j.ceramint.2024.04.274,CSS,Other garnets,511.0,sample
LI24_CSS_CE12,10.1016/j.ceramint.2024.04.274,CSS,Other garnets,512.0,sample
LING24_LUGDAG_CE005_GD00,10.1016/j.jeurceramsoc.2024.04.014,LuGdAG,LuGdAG,513.0,sample
LING24_LUGDAG_CE005_GD03,10.1016/j.jeurceramsoc.2024.04.014,LuGdAG,LuGdAG,535.0,sample
LING24_LUGDAG_CE005_GD06,10.1016/j.jeurceramsoc.2024.04.014,LuGdAG,LuGdAG,545.0,sample
LING24_LUGDAG_CE005_GD09,10.1016/j.jeurceramsoc.2024.04.014,LuGdAG,LuGdAG,549.0,sample
LING24_LUGDAG_CE007_GD09,10.1016/j.jeurceramsoc.2024.04.014,LuGdAG,LuGdAG,552.0,sample
LING24_LUGDAG_CE009_GD09,10.1016/j.jeurceramsoc.2024.04.014,LuGdAG,LuGdAG,553.0,sample
LING24_LUGDAG_CE011_GD09,10.1016/j.jeurceramsoc.2024.04.014,LuGdAG,LuGdAG,554.0,sample
LING24_LUGDAG_CE013_GD09,10.1016/j.jeurceramsoc.2024.04.014,LuGdAG,LuGdAG,555.0,sample
BARTA21_YAG,10.1016/j.jallcom.2021.161687,YAG,YAG,543.0,sample
BARTA21_YAGG_GA1,10.1016/j.jallcom.2021.161687,YAGG,YAGG,531.0,sample
BARTA21_YAGG_GA2,10.1016/j.jallcom.2021.161687,YAGG,YAGG,520.0,sample
MENG20_GLMS_Z00,10.1016/j.jeurceramsoc.2020.03.019,GLMS,Other garnets,563.0,sample
MENG20_GLMS_Z05,10.1016/j.jeurceramsoc.2020.03.019,GLMS,Other garnets,572.0,sample
MENG20_GLMS_Z10,10.1016/j.jeurceramsoc.2020.03.019,GLMS,Other garnets,575.0,sample
MA21_YSC00_CE04,10.1364/OE.417464,YAG,YAG,552.0,sample
MA21_GYSC00_CE04,10.1364/OE.417464,Gd-Y-ScAG,Other garnets,586.0,sample
MA21_GSC40_CE04,10.1364/OE.417464,GSAG,Other garnets,577.0,sample
MA21_GSC40_CE06,10.1364/OE.417464,GSAG,Other garnets,578.0,sample
MA21_GSC40_CE08,10.1364/OE.417464,GSAG,Other garnets,580.0,sample
MA21_GSC40_CE10,10.1364/OE.417464,GSAG,Other garnets,581.0,sample
MA21_GSC40_CE12,10.1364/OE.417464,GSAG,Other garnets,583.0,sample
