source,target,n,record_type,variable_a,variable_b,column_a,column_b,spearman_r,model,ready,total
Composition,M0,255.0,network,,,,,,,,
Composition,M1,255.0,network,,,,,,,,
Site occupancy,M1,245.0,network,,,,,,,,
Site occupancy,M2,245.0,network,,,,,,,,
PL / PLE,M2,73.0,network,,,,,,,,
PL / PLE,M3,53.0,network,,,,,,,,
PL / PLE,M5,170.0,network,,,,,,,,
Crystal structure,M1,32.0,network,,,,,,,,
Crystal structure,M2,32.0,network,,,,,,,,
Crystal structure,M3,32.0,network,,,,,,,,
Ceramic process,M5,255.0,network,,,,,,,,
Physical descriptors,M0,131.0,network,,,,,,,,
Physical descriptors,M2,132.0,network,,,,,,,,
Physical descriptors,M3,132.0,network,,,,,,,,
Source provenance,M0,255.0,network,,,,,,,,
Source provenance,M1,255.0,network,,,,,,,,
Source provenance,M2,255.0,network,,,,,,,,
Source provenance,M3,255.0,network,,,,,,,,
Source provenance,M5,255.0,network,,,,,,,,
,,46.0,correlation,Thickness,5d1 energy,sample_thickness_mm,excitation_5d1_ev,-0.3844476438343868,,,
,,116.0,correlation,Thickness,Emission,sample_thickness_mm,emission_peak_nm,-0.11550767887580185,,,
,,45.0,correlation,Thickness,Stokes,sample_thickness_mm,stokes_shift_ev,-0.06441497600959592,,,
,,95.0,correlation,Thickness,Sintering T,sample_thickness_mm,sintering_temperature_c,-0.1160647773973872,,,
,,116.0,correlation,Thickness,Thickness,sample_thickness_mm,sample_thickness_mm,1.0,,,
,,46.0,correlation,Thickness,Grain size,sample_thickness_mm,grain_size_um,0.20739188640395326,,,
,,46.0,correlation,Grain size,Ce(A),grain_size_um,A_Ce_fraction,-0.047482084546262966,,,
,,46.0,correlation,Grain size,Ga(B/C),grain_size_um,BC_Ga_fraction,0.08598899510155793,,,
,,46.0,correlation,Grain size,Al(B/C),grain_size_um,BC_Al_fraction,0.027799330155410765,,,
,,46.0,correlation,Grain size,Sc(B),grain_size_um,BC_Sc_fraction,,,,
,,26.0,correlation,Grain size,Lattice a,grain_size_um,lattice_a_angstrom,0.28052099391473206,,,
,,11.0,correlation,Grain size,A–O,grain_size_um,a_o_bond_mean_angstrom,-0.37638948744522666,,,
,,12.0,correlation,Grain size,AO8 volume,grain_size_um,a_o_polyhedron_volume_a3,-0.26023739218491565,,,
,,13.0,correlation,Grain size,Distortion,grain_size_um,bond_distortion_index,-0.16610790689998436,,,
,,18.0,correlation,Grain size,5d1 energy,grain_size_um,excitation_5d1_ev,-0.18393738242198987,,,
,,46.0,correlation,Grain size,Emission,grain_size_um,emission_peak_nm,0.3221341482575286,,,
,,18.0,correlation,Grain size,Stokes,grain_size_um,stokes_shift_ev,0.3246100986337502,,,
,,42.0,correlation,Grain size,Sintering T,grain_size_um,sintering_temperature_c,0.4375653372949577,,,
,,46.0,correlation,Grain size,Thickness,grain_size_um,sample_thickness_mm,0.20739188640395326,,,
,,46.0,correlation,Grain size,Grain size,grain_size_um,grain_size_um,1.0,,,
,,,readiness,,,,,,M0,131.0,132.0
,,,readiness,,,,,,M1,32.0,132.0
,,,readiness,,,,,,M2,53.0,132.0
,,,readiness,,,,,,M3,53.0,132.0
,,,readiness,,,,,,M5,116.0,132.0
